_id,question_dictionary,course_title,course_code,difficulty,q_type,question_point
60a237cf42733bd3c964542e,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,21.79744055364603
60a237cf42733bd3c964542f,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,11.718778702279648
60a237cf42733bd3c9645430,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,22.71958297338746
60a237cf42733bd3c9645431,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,34.7824083302492
60a237cf42733bd3c9645432,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,11.201938189388997
60a237cf42733bd3c9645433,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.2113970843202
60a237cf42733bd3c9645434,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,12.364592172129399
60a237cf42733bd3c9645435,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,23.39882674818829
60a237cf42733bd3c9645436,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,24.53363833386097
60a237cf42733bd3c9645437,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,15.827843970860066
60a237cf42733bd3c9645438,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,37.209057882600206
60a237cf42733bd3c9645439,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,39.289279429252964
60a237cf42733bd3c964543a,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,14.10568220457474
60a237cf42733bd3c964543b,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,39.888570238172164
60a237cf42733bd3c964543c,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.16904929080128
60a237cf42733bd3c964543d,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,31.500558021486615
60a237cf42733bd3c964543e,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,38.597639250894446
60a237cf42733bd3c964543f,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,36.67751770459705
60a237cf42733bd3c9645440,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,29.42844524168414
60a237cf42733bd3c9645441,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,22.055591819801627
60a237cf42733bd3c9645442,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.06727009259933
60a237cf42733bd3c9645443,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,31.037260972526767
60a237cf42733bd3c9645444,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,10.397189335348752
60a237cf42733bd3c9645445,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,20.825290967629563
60a237cf42733bd3c9645446,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,26.18269182841817
60a237cf42733bd3c9645447,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,21.994770063383463
60a237cf42733bd3c9645448,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,32.39307189088939
60a237cf42733bd3c9645449,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,16.191482807614697
60a237cf42733bd3c964544a,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,12.257372567108488
60a237cf42733bd3c964544b,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,11.680809109504365
60a237cf42733bd3c964544c,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,20.164298288702533
60a237cf42733bd3c964544d,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,31.283037602607042
60a237cf42733bd3c964544e,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,10.742644076818461
60a237cf42733bd3c964544f,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,19.018231080065423
60a237cf42733bd3c9645450,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,30.19515382641652
60a237cf42733bd3c9645451,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.949352380561336
60a237cf42733bd3c9645452,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,15.051573175836364
60a237cf42733bd3c9645453,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,25.173786584998545
60a237cf42733bd3c9645454,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,27.874161837218928
60a237cf42733bd3c9645455,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,28.46800846252926
60a237cf42733bd3c9645456,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,39.564143930349225
60a237cf42733bd3c9645457,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.44989140276799
60a237cf42733bd3c9645458,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,17.236664632938307
60a237cf42733bd3c9645459,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,11.442854123723826
60a237cf42733bd3c964545a,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,22.268849054064212
60a237cf42733bd3c964545b,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.28082110737333
60a237cf42733bd3c964545c,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,29.390439358871895
60a237cf42733bd3c964545d,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,33.77263501573357
60a237cf42733bd3c964545e,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,19.94876529104885
60a237cf42733bd3c964545f,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,18.734931521060417
60a237cf42733bd3c9645460,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,21.65906143621566
60a237cf42733bd3c9645461,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,17.627256502311397
60a237cf42733bd3c9645462,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,11.303655899039285
60a237cf42733bd3c9645463,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,14.359888826795235
60a237cf42733bd3c9645464,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,34.64165725248118
60a237cf42733bd3c9645465,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,31.416178242100727
60a237cf42733bd3c9645466,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,34.305187863500706
60a237cf42733bd3c9645467,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,13.626552873539197
60a237cf42733bd3c9645468,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,28.00614469945666
60a237cf42733bd3c9645469,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,32.67952928326616
60a237cf42733bd3c964546a,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,32.29101009143058
60a237cf42733bd3c964546b,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,39.58461386231554
60a237cf42733bd3c964546c,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,38.19910644561311
60a237cf42733bd3c964546d,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,27.41711328023841
60a237cf42733bd3c964546e,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,32.93094971691729
60a237cf42733bd3c964546f,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,32.344263622986944
60a237cf42733bd3c9645470,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,11.808734110231194
60a237cf42733bd3c9645471,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,10.226165145495507
60a237cf42733bd3c9645472,{'dummy question': 'dummy'},Data Algorithm,swe151,Hard,mcq,13.710270092264253
60a237cf42733bd3c9645473,{'dummy question': 'dummy'},Data Algorithm,swe151,Easy,mcq,39.107669126125614
60a237cf42733bd3c9645474,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,23.85335253677072
60a237cf42733bd3c9645475,{'dummy question': 'dummy'},Data Algorithm,swe151,Medium,mcq,24.580572109213133
